id,keyword,text,target
177,airplane%20accident,# Trump in Accident # Crash - Airplane # Ukraine is the main factor as the most powerful person in the world whose count…,0
184,airplane%20accident,She is still silent about the killing of 176 innocent people in Iran. Iranian military admitted it shot down Ukrainian a…,1
190,ambulance,Fire Engulfs Ambulance Conveying Corpse of Catholic Priest’s Mother; #streetjournal https://t.co/gK6dAGKRrL,1
191,ambulance,"Is it racist to be concerned that this is correct … 50,000 residents in Birmingham can't speak English? Birmingham is England…",0
193,ambulance,"#USDJPY despite Richter Scale overbought, Fxstreet Line Up Swissquote bullish long, Jason Sen Mr. Ambulance Chaser B…",0
206,ambulance,And drumroll its beach girl. Henry tried to keep pressure on the wound and calls for an… https://t.co/gvo4M76B1O,0
209,ambulance,"ooh, guys, do you know where in gauteng people go to study nursing and the ambulance nurses who keep you alive in transit…",0
216,ambulance,“ambulance nurses” ♥️♥️♥️,0
218,ambulance,For all your ambulance 🚑 needs call us today on our Toll-Free number 👉0819696 https://t.co/aWzJw2wxkx,0
220,ambulance,Timely action during accidents can save someone's life. If you find someone with injury then call for an ambulance… https://t.co/9PPTiJUJpN,1
223,ambulance,Another race baiting ambulance chaser exposed ..this is racism in action but you and peop… https://t.co/2UhePawVK9,0
224,ambulance,"ooh, guys, do you know where in gauteng people go to study nursing and the ambulance nurses who keep you alive in t… https://t.co/M6YK1fibLu",0
230,annihilated,Which Quranic Verse Did the Leader Choose for Qasem Soleimani? | Unique Moment A soldier of Islam who tirelessly foug…,0
234,annihilated,Zero chance of any of those candidates winning the next election. The deluded hard left will… https://t.co/Xnurp3Teng,0
240,annihilated,"Titans, raise your tridents and drink to Victory We annihilated our enemies yesterday and sent them to hades where they…",1
245,annihilated,"Polls mean shit all Hugh, they were wrong, massively, we have effectively now had 3 votes, leave won… https://t.co/EpTuVM6j5q",0
250,annihilated,"WE WIN! The Federal Judge lifted the TRO. We can Build in the Floodplain, this will change the game. The judge absolutely…",0
251,annihilated,"Oppenheimer annihilated him, I was done when he referenced Mistress Death's dislike of Thanos. https://t.co/165Ot51Jxs",0
258,annihilated,Nicki minaj single handedly annihilated the male species the day this dropped !! https://t.co/v7KK4pWdtK,0
286,annihilation,"You are just deflecting the issue, which is discouraging statistics(of Bengali hindus) f… https://t.co/rGjkNxYzL8",0
288,annihilation,"I loved and hated #UncutGems, like several movies recently. It evoked Clockwork Orange - grotesque but compelling -… https://t.co/KPHUCeRWCi",0
320,annihilation,annihilation on hulu,0
326,apocalypse,I will never understand why the smell of girls perfume lasts for a 8 secs meanwhile boys can go through an apocalypse and st…,0
338,apocalypse,"Yea, but let's be honest. Kids value pretty much any game they see on Roblox the same. They'll play whatever they f… https://t.co/k0YcbKnN9U",0
346,apocalypse,chodzi ci o Apocalypse?,0
348,apocalypse,Apocalypse chic,0
351,apocalypse,Texsch literally caused the apocalypse and that's invalid :o),0
357,apocalypse,"I just survived the London rush hour tube ride (which is basically like surviving the zombie apocalypse), but what… https://t.co/OC1WtHjXiw",1
358,apocalypse,👍 on : GTA 5 Zombie Apocalypse Mod #2 - SURVIVAL!! (GTA 5 Mods) https://t.co/jwRJlHMW6R,0
364,apocalypse,"GRETA THUNBERG: please no phjotos. I dont want to be fjamous, i just want my save my small windmill town frjom climjate apo…",0
365,armageddon,It’s Armageddon for wheelie bins.,0
368,armageddon,"New Music: DJ Joenel feat. Ajebo Hustlers, Dr Barz &amp; Dan Dizzy – Armageddon https://t.co/S8bAUOPZDZ https://t.co/jiel4VWU1F",0
369,armageddon,"New Music: DJ Joenel feat. Ajebo Hustlers, Dr Barz &amp; Dan Dizzy – Armageddon https://t.co/rlOcieXQPt https://t.co/2DCzBRS1nJ",0
375,armageddon,That can’t be true. Jesus usually rides a Harley to Armageddon picknicks. https://t.co/luYrj6NY7z,0
376,armageddon,Getter Robo: Armageddon (1998) https://t.co/fqD7EoBjq8,0
378,armageddon,65RT↑270♡↑ Thanks!,0
385,armageddon,White: I Saw Trump Riding Golden Horse Alongside Jesus During Armageddon https://t.co/oG3RkpyvH8,0
386,armageddon,When the few hold the most wealth power and privilege due to the defective money system that humani… https://t.co/EPmdxaRAus,0
388,armageddon,The ONLY reason that Jesus would be riding along side of tRump would be to show him the gates of hell w… https://t.co/0qLG3G8yko,0
395,army,Today Pak Army soldiers will b thanking to Indian Army.If the Indian Army did not carry out deadly strikes in Neelum Valle…,1
402,army,People in the army kill people everyday and then get sent home no jail time,0
410,army,Remember when an army used google translate to ask “are you excited to go to korea?” But it messed up and said “Are you horn…,0
411,army,J-Hope's 'Chicken Noodle Soup (feat. Becky G)' MV has passed 130 million views. #iHeartsAwards #BestFanArmy…,0
417,army,I’m the one who wrote this post on weverse. I’m glad that many ARMYs are able to see so that they have awareness as to wh…,0
421,army,Weverse Official A Special Gift for ARMY from BTS SUGA https://t.co/7VQDvghgfj,0
424,army,remember when yoongi replied to an army in english 🥺🥺 why did i just read it in his tiny english voice too i’m devastate…,0
427,army,INDONESIA ARMY WHERE ARE YOU?! WE ARE HUGE PLEASE VOTE #BoyWithLuv #BestMusicVideo #iHeartAwards @…,0
445,army,Congratulations J-Hope and for 130M views for CNS 🎉 Let's stream as much as we can until Hobi's bir…,0
460,arson,"""Only about 1 per cent of the land burnt in NSW this bushfire season can be officially attribu… https://t.co/prCXHHyt1B",1
470,arson,"Climate change is now the #1 cause of arson. Or perhaps arson is the #1 cause of #ClimateChange Whatever it is, the sol…",0
474,arson,"2009 bushfires in Victoria: - 173 fatalities - Labor Govt &amp; Kevin Rudd - Caused by arson, power lines, lightning - Nobody…",1
479,arson,Rubbish Hillary! I am an Australian living near the fires &amp; the causes of the fires have been: 1. Arson with approx 200…,1
480,arson,"We cannot stop bushfires, we must plan to live with them. This means significant change, including information and… https://t.co/XX4QCfV9h3",0
487,arson,Yeah because arson and poor forest management is not climate change.,0
493,arson,"...the lack of decent land management / strategies for fire prevention,… https://t.co/ieKcFNpZVs",0
497,arson,"As part of our analysis of misinformation propagated about the Australian bushfires, has produced this detai…",0
503,arson,"There's no doubt, , that officials are downplaying arson's role in Australia's fires (because they are global…",0
513,arsonist,Equivalent of an arsonist that lights the fire then rushes in as a hero to put it out! Except this fi… https://t.co/xFebDYfVsa,0
514,arsonist,Have I got this right #Arsonist in Chief of #AustraliaBurning Morrison is even smugger &amp; smirkier than usual bc he clai…,0
519,arsonist,One of the blog confirms that voilence was linked to CAA and nrc protest. In Bhainsa of Nirma…,0
536,attack,"Trump shares horrific photo of bloodied corpse: The tweet that Trump shared said: ""Question: Who in America supports this m…",0
541,attack,"RT #FightExtremism ""The Taliban have claimed responsibility for a roadside bomb attack in Kandahar that killed two… https://t.co/7Ym9WSGKQp",1
555,attack,Moments before taking a bucket full of d6 for the Sneak Attack. #dnd #dungeonsanddragons #dnd5e https://t.co/QotzVHVliW,0
556,attack,i tried to go to school today and everything was fine but now i sit outside of the classroom bc my hands started to… https://t.co/JDbcnqrOJH,0
564,attack,"When Orientalism, Islamophobia, and anti-#Iran sentiment are used to attack people across the political aisle (this was retweet…",0
572,attack,German Hospital Forced to Hire Security Guards After ‘Refugees’ Physically Attack Nurses https://t.co/BkDDlcTDk5,0
602,attack,for his Participation in countering a Fidayeen Attack by Terrorists at District Police Lines Pulwahma on 25/26 Aug 2017 w…,1
605,attacked,God is going to bless you in the same season the devil attacked you.,0
613,attacked,Id love to know how actually its just a different type of homophobia that happened to Wilson. He was a… https://t.co/mpXLgZUniA,0
637,attacked,Son and teenage girl arrested after couple attacked at Centurion home https://t.co/Wd9rbN13YV,0
646,attacked,Terrorists attacked people in Telangana Smaller districts of Bhainsa and Nirmal saw terror mob burned few places and tar…,1
655,attacked,Why have you stopped short with only ABVP and have not questioned the ABVP cadre who initiated the att… https://t.co/aVk3SHS4Uh,0
657,attacked,"So because I've not read, heard or seen Meghan being racially attacked its b/c Im white and all white people are ra… https://t.co/DzccMLENCg",0
671,avalanche,read everything Avalanche here! https://t.co/k1cBbCmrh3 #followtrain,0
674,avalanche,JUST IN: Avalanche strikes Indian Army post in Machil sector along LoC in Jammu &amp; Kashmir. 5 soldiers were believed to b…,1
682,avalanche,"Breaking News: At least 51 people have been killed in a snow avalanche in Neelum valley of Azad Kashmir , officials sa…",1
683,avalanche,⁠Turkey’s first university blockchain center BlockchainIST jumps into Emin Gün Sirer’s Avalanche https://t.co/Gr6NLOdP2I,0
711,battle,"When you have tittle without mantle you end up with battle. You will not remember a man because of his title, but beca…",0
712,battle,"Ireland, 1014 AD. High King Brian Boru survives the Battle of Clontarf and establishes an enduring royal dynasty. The cu…",0
728,battle,"So.. Free battle anyone?🤔 Comment ""#daddyarmy""",0
732,battle,There's always gonna be another mountain I'm always gonna wanna make it move Always gonna be an uphill battle Sometimes I'm…,0
743,battle,"I GOT IT ALL IN CONTROL... RUNNING A LABEL WITH 2 DEALS ""UPHILL BATTLE LLC""",0
750,battle,It's Very Sad that #EgertonHeist has reduced a once Great University to a Battle ground between the Police &amp; students simpl…,0
752,battle,BB9B04C5 :Battle ID I need backup! Lvl 100 Celeste Omega https://t.co/s0FmtxAUFT,0
753,battle,1DB28A63 :Battle ID I need backup! Lvl 100 Baal https://t.co/hHlrnSEJmd,0
760,battle,B9CF7ABC :Battle ID I need backup! Lvl 50 Joya https://t.co/luE1wvM1Xa,0
763,battle,512B214F :Battle ID I need backup! Lvl 100 Yggdrasil Omega https://t.co/BVVSnPgZ3W,0
764,battle,s 1656ABAF :Battle ID I need backup! Lvl 100 Colossus Omega https://t.co/YeOnr59F9Z,0
767,bioterror,"Sir, if I may this tech is quite useful in case of a bioterror attack https://t.co/pAbur3CVum",0
772,bioterror,"Courtesy of “Mixed in with people who nothing more than to come to America for a better life, more i… https://t.co/ZEpp4lzpnA",0
784,bioterror,"US-Mexico Border: Portal For TB, Swine Flu, Bioterror https://t.co/xv4mhvm5iS via",1
811,bioterrorism,hachi-san88: Leon and Claire. They fight bioterrorism and have busy days. That’s why they value the time they spend tog…,0
813,bioterrorism,hachi-san88: Leon and Claire. They fight bioterrorism and have busy days. That’s why they value the time they spend… https://t.co/hcjq3VatR2,0
857,blaze,"“Two fights - to protect rights, and to revive [EU &amp; Enlightenment] values - aren't an alternative to a campaign to rejoin.…",0
865,blaze,"What is the definition of ""major interview?"" Let's start with when will #BrexitJohnson #ReleaseTheRussiaReport ??",0
869,blaze,blaze it,0
892,blazing,Margaret Cavendish was an English philosopher and author born in 1623. She was the first woman to attend a meeting at t…,0
893,blazing,"#KartikGoenka - a flame blazing up, a volcano ready to erupt, a man whose silence has been mistaken for weakness 🙌🏼 #MohsinK…",0
900,blazing,ObsNewRev: Motherwell: A Girlhood by Deborah Orr review – fitting legacy of a blazing talent https://t.co/sa2QOkkdv9,0
903,blazing,“Our work for LGBT-inclusive education in Scotland is about ensuring that no generation of LGBT young people ever again fe…,0
920,blazing,"I shot one of two Colts I had aimed at him, the one in my left hand, before Trent could pull the trigger of his Rem… https://t.co/asYxjXnFd0",0
925,blazing,Was a fair call before WC. Should have done it at the WC. Not now when Iyer has been in blazing form at 4.,0
928,blazing,"Jennie looked at me, and said, “Bass, you need to do this. You need to go before Tecumseh kills again.” Get Bass Re… https://t.co/9dzgBTdopw",0
937,blazing,"When an eagle soars into the blazing sun, it is not just a show of strength but because he truly belongs at the top. You…",0
942,bleeding,"Why can’t you be truthful it’s not down you have put them in concentration camps and cages ,the wall has nothing to… https://t.co/DEtzSrFaZE",0
955,bleeding,GHANAIAN WOMEN WOULD STAB YOU IN THE BACK THEN ASK YOU WHY YOU’RE BLEEDING.,0
959,bleeding,"(((LIVE))) Cervical Cancer: Bleeding after menopause is a sign of disease - Dr Kwaku Ansah -Opoku, Obstetrician &amp; G… https://t.co/cSb6Vh7pFu",0
961,bleeding,Freedom of movement bleeding central and souther Europe dry https://t.co/iDOoN1YLaz,0
965,bleeding,Bleeding Madras be that,0
969,bleeding,ICYMI: “Silence Surrounds Revelations of Mueller’s Collaboration with CIA Torture Program” - my new article on Guantanamo.…,0
980,bleeding,I forgot my lip balm and now I’m holding a sleeping baby and my lips are dry and cracked and bleeding.,1
983,bleeding,It wont taste the same and like I’d...... die......which is fine but like..........I’d rather not die… https://t.co/X0lYw9QQxs,0
994,bleeding,I kinda want to watch it,0
1019,blew%20up,can i just say 😳 i dont understand why this blew up as the cameraman panicking @ tae as it clearly cut to a different camer…,0
1023,blew%20up,#AfricaKwetu Late Commander Fred Nkuranga Rubereza. One of the greatest heroes of the NRA/UPDF passed away in 1981… https://t.co/8zH6SqSJAe,0
1040,blew%20up,I think the document shredder blew up and was mistaken for snow,0
1046,blew%20up,This probably was not a choice Warren was forced into. It was likely her campaign that leaked the st… https://t.co/kvUIHca4Uk,0
1053,blew%20up,I once told someone to check her iron level because there were like obvious symptoms she was having ( same thing I… https://t.co/c45iPQpOTo,0
1060,blight,"SHDC is working with partners across Lincolnshire to launch the #SCRAP fly-tipping campaign today, which aims to fight the…",0
1068,blight,Low traffic neighbourhoods - way ahead to save our local streets from the blight of pollution and noise. #Safer streets ar…,0
1078,blight,you should understand i'm cleaning up html and css is a fucking blight and capitalists are fucking useless,0
1088,blight,Tunisian fishermen driven to perilous depths by mystery sea sponge blight https://t.co/iM6VKIGqsL,1
1102,blight,"Only Leftists would demand exteme birth control, claim that humanity is a blight on the planet, pray for genocide… https://t.co/pNShHgmxOh",0
1118,blizzard,Blizzard fixing OW by buffing random heroes: https://t.co/MDh9vfPFbX,0
1122,blizzard,"Also, with the announcement of Overwatch 2(which don’t get me wrong I will play tons of), Blizzard has already slow… https://t.co/mCrN7yStna",0
1136,blizzard,PUBG: Provide Unmitigated Blizzard Goop,0
1147,blizzard,xeltes played World of Warcraft (Blizzard) in the last 24 hours https://t.co/7Qvvbxc59M #exophase,0
1168,blood,Working on some blood maledict sets! https://t.co/lfHhS9I7sy,0
1205,blood,everyman/woman who doesnt exactly belive in that must b kiled; evrythng that does… https://t.co/MtupW8m9Rt,0
1211,blood,giorno: what’s your blood type? fugo: how would i know? giorno: how would you not? fugo: who do you think i am? karl…,0
1221,bloody,"🇮🇹 Totti is 43 years old and he’s still scoring bangers like that. Class is permanent., what a bloody goal. 🔥 https://t.co/RhZptTltyF",0
1231,bloody,It will just take a random google search to know about the media mavens of the day who helped the political plus bureaucr…,0
1242,bloody,I'm finally reading the Not So Stories anthology* and barely ten sentences into 's introduction I'm cr… https://t.co/hF0CMppbbl,0
1257,bloody,BBC as usual making my blood boil. Patting yourselves on the back. He is doing ok. You didn't tell u… https://t.co/Kz2isDTkLy,0
1258,bloody,"Our teen Junior Judges bloody loved BLOOD MOON. Fresh, positive and empowering on first love, friendships and rejecting…",0
1270,bloody,Let us begin by taking a look at the very concept of the US trying to trick an enemy nation into downing a civilian airliner.…,0
1289,blown%20up,i just wanted to say really quick that i liked season 1 a lot BUT i LOVE season 2. knj really stepped up the game and mad…,0
1291,blown%20up,"FLASHBACK- 2.3 TRILLION MISSING PROVES 9/11 WAS AN INSIDE JOB: On 9/10, $2.3 trillion went missing from the Defense Depar…",0
1314,body%20bag,That situation tends to end with the attacker shot. That would not go over very well in some places.… https://t.co/ElHAEtyaqf,0
1316,body%20bag,"Jackson couldn’t sleep. He grabbed a coat before running out the door, had his messenger bag slung across his body as u…",0
1320,body%20bag,x “Body Bag 2” (Official Video) https://t.co/dPrVs15HGQ 🎥 🎹 … https://t.co/t9e4Nhuywl,0
1323,body%20bag,"""Body parts found in bag in Coolock, north Dublin. The investigation is still at a very early stage, but gardai are tre…",1
1341,body%20bag,Someone was murdered and their body parts left in a bag in Coolock last night When is the gov going to acknowledge… https://t.co/BNSa2r1iXH,1
1344,body%20bag,"Typo. Yes, coroner. Witnesses confirmed body bag leaving the vacant house along with multiple evidence… https://t.co/eQbKXGkfj8",1
1375,body%20bagging,Poor . I think he’s dead after this body bagging.,1
1377,body%20bagging,"I don't mind being your enemy if you're an enemy of mine. Remember, I'm gone match any and all energy and don't min… https://t.co/SdhxpghXOK",0
1383,body%20bagging,Listen to your body &amp; take it as easy as you need to. Consider bagging your socked feet in your shoes… https://t.co/45yiQlx0IU,0
1408,body%20bags,I’m sure the Russian Owned PM will be sending troops to back up his mate in the US. Sadly… https://t.co/FbCvF8Rqsg,1
1420,body%20bags,I have 1 question...how can they identify all of those passengers in 1 day? They had full body bags on the r…,0
1423,body%20bags,No more free plastic bags in Baltimore City after bill signing--I guess they need to raise money to buy more plasti… https://t.co/v4MH7fynO3,0
1434,body%20bags,It's not my fight. If it was up to me we'd give Iran nukes to b… https://t.co/1xJePeKt53,0
1435,body%20bags,Someone get the body bags for Warren's campaign plz,0
1445,body%20bags,29 years of mil service taught me that 4 body bags during “pea… https://t.co/BF2dkuNqTA,0
1453,body%20bags,"This comes to mind when I read all the comments - I remember in 2016 ""Rumors"" of W…",0
1476,bomb,“i have a girlfriend with whom i want to spend the rest of my life.” – kim jongdae. https://t.co/m5s9ocVVYt,0
1479,bomb,Reports are Harry &amp; Meghan do NOT want to live in America until Trump leaves office. I spent years in bomb shelter as a…,0
1480,bomb,Can I just eat all I fucking want and have a bomb body? No? Awe ... okay 🙁,0
1482,bomb,"ARMYs are trending #ThankYouBigHit to show their appreciation towards Bighit, for providing subtitles on the new Bangta…",0
1492,bomb,I did not say you had a base In Iran! I simply put you are in IRAN... You can’t bo… https://t.co/ykNA7KKJPk,0
1511,bomb,You’ve ramped up the brutal sanctions on #Iran that are killing ordinary Iranians. You murder their top military figure #So…,0
1516,bomb,"This is ALOTT jongdae husband And dad, Yoonterlude aka Shadow is a Masterpiece it's legit one of my favourite bts… https://t.co/IroORvj3eQ",0
1517,bomb,"Bomb in Van of NJ Shooting Attack Suspects Could’ve Killed People 5 Football Fields Away, Officials Said https://t.co/IL…",1
1521,bomb,"Lmao if this was real, I’d have to bomb Cartoon Network 😭😂 Theres no way I’m letting them ruin this like they ruined Teen…",0
1524,bombed,This bombed on IG and I have ONE follower on here but hi here’s some graphic liner (I messed up and just kept going ok bye…,0
1526,bombed,"BREAKING: Soleimani's killing marked the culmination of US unlawful activity, Washington went beyond all legal frameworks -…",0
1533,bombed,"Hadaba Military College Cadets Drone Bombed by LNA in Tripoli, Libya https://t.co/ycJD6DNSdt",1
1539,bombed,So I did a thing. I streamed for the first time. Bombed. But hey. Practice makes perfect!,0
1541,bombed,Let’s get this straight. US military bases in Iraq are bombed by Iran. What’s Trump’s response? To illegally divert…,1
1545,bombed,Lakini hapo Omamo has been put in to make sure we don't get bombed and finish those contract negotiations. All in… https://t.co/gksWiMfjse,0
1551,bombed,Bruh it just randomly thundered out of knowwhere and that shit was LOUD AF ! Felt it in my chest and I for real tho… https://t.co/QvYh1l1V4x,0
1563,bombed,The place where these children once called home is no more after being bombed by #Assad and #Putin. We are so lucky they are…,0
1567,bombed,On a battlefield tour a couple of years ago I met a gent who had been badly wounded when his ship was b… https://t.co/yhNZgF1c3T,0
1580,bombing,"retweet 👇 ...to fix a problem, deal with the root of the problem Marine Le Pen: ""Macron tells us that we are fighting terr…",0
1585,bombing,30% of Republican primary voters nationally say they support bombing Agrabah. Agrabah is the country from Aladdin. #NotTheOni…,0
1592,bombing,"#Yemen Article/Video April 1, 2019 The US backed Saudi Coalition have been bombing and starving civilian in Yemen to f…",0
1598,bombing,"#Yemen Article/Video April 1, 2019 The US backed Saudi Coalition have been bombing and starving civilian in Yemen to force t…",1
1610,bombing,so bombing is happening ?????,0
1612,bombing,"On January 14, 2016 at 10:30 WIB, the first bomb blasted the Starbucks outlet at the area’s Cakrawala Building https://…",0
1613,bombing,Do these images disturb you?? They should . The bombing was planned!!! By who or whom?? The pictures on the left an…,0
1614,bombing,The winter in Gaza has a special character .. !!! There are many poor people in Gaza living in homes partially destroyed…,0
1617,bombing,Most brainless report today - US invaders and occupiers in Iraq whining that pple they have been bombing and killin… https://t.co/MgL0FotZYa,1
1621,bombing,My history teacher in England used to ask me to account to the class whenever there was an IRA bombing in t…,0
1631,bombing,"75 buses and 20 ambulances of refugees, mostly children and women, were leaving Fou’ah and Kafriya after a two-year besiegeme…",0
1651,bridge%20collapse,Sorry but our whole system needs a reset. There’s way to much corruption across the board. Trump is a… https://t.co/CFLZMHpb6j,0
1658,bridge%20collapse,"Err, what’s the bridge made of cus’ I didn’t hear any material being mentioned? A bridge without subs… https://t.co/Z18kgEhK6P",0
1661,bridge%20collapse,Still remember BJP disowning for her Comments on Mumbai foot overbridge collapse…,0
1665,bridge%20collapse,Q / [ CEMEX] + [ EPSTEIN] + ADRENOCHROME/ HOW to hide the evidence/ think [ Hemoglobin] / quick search… https://t.co/SoR8yss6rf,0
1706,buildings%20burning,From what I know...these burning buildings are an annual occurrence. I am not ruling out arson but jus… https://t.co/LsEc981h68,0
1714,buildings%20burning,"I mean, there's directness though. Like, the townhall of whatevertown Alabama was built with slave… https://t.co/utqajXNNzn",0
1719,buildings%20burning,But his kids aren’t hungry and he saves strangers from burning buildings 🤷‍♂️😜 https://t.co/sH2dBAvT7T,0
1742,buildings%20burning,#BoundBrookFire Firefighters from several different departments came together to prevent even more buildings from burn…,1
1760,buildings%20on%20fire,"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the… https://t.co/6i6ZIfynFV",1
1803,buildings%20on%20fire,"Inferno on Black Friday 1939: 71 deaths, 3,700 buildings, too much fuel and “lit by the hand of man” « JoNova… https://t.co/tHhw0dRMin",1
1807,buildings%20on%20fire,"A massive fire in Somerset County consumed at least five buildings, forced over 100 residents to evacuate and suspe… https://t.co/72cwoB36DA",1
1821,burned,bro i said i wanted a light toast i didnt want it fucking burned damn,0
1826,burned,"I'm sorry he has lost ""his"" bees, but forgive me, the only reason these bees were there is bec… https://t.co/2LK2UbftTk",0
1859,burned,"Just like what happened with #Yezidi girls who refused to be sex slaves! 7000 Yezidis were kidnapped ,enslaved. 19 were…",1
1860,burned,"2020 so far has been an absolute movie ❤️ but like, a bootleg, like someone brought a 2004 camcorder into the theatre and th…",0
1879,burning,What do you need to start a successful business? Three simple things 1)know your product better than anyone 2)know your cus…,0
1886,burning,Come on - the country is burning. Over a billion animals are dead. And you somehow think it’s still appr…,1
1897,burning,"If I had to guess where the #RefundWarren and #ITrustBernie hashtags started, I'd be looking at the same Russian troll farm…",0
1901,burning,We are seeing the other side ...the barbaric cult .which says there is no God but theirs ..Whil…,0
1921,burning,darinde...how i wish i could put these in hot burning oil instead of hanging.,0
1926,bush%20fires,"I imagine Tony will just say that the bush fires are all part of god's plan, very much doubt he will… https://t.co/ubU3i0ql5P",0
1928,bush%20fires,"Ever since it came out that bush fires in Australia are caused by arsonists, not by ""climate crisis"", the BBC appear a lot…",0
1929,bush%20fires,Can the year 9’s from who are part of my cohort “navigate” themselves as an injured &amp;… https://t.co/jrci7YAb7H,0
1945,bush%20fires,"2019 is officially Australia’s hottest year on record, &amp; with that has brought an earlier start to bush fire season… https://t.co/fW2N3fuyzu",0
1946,bush%20fires,"It’s very clear. Like the bush Fires climate change, racism, Brexit and Farage are to blame.",0
1963,bush%20fires,Yup some vegetation require the bush fires to be able to grow.,0
1964,bush%20fires,"Question: Do sports administrators &amp; directors of sports governing bodies, globally and in Australia, in the wake of t…",0
1966,bush%20fires,"I care about root causes, actual facts demonstrated, evidence, not LEA… https://t.co/4Y5nZTKHsx",0
1970,bush%20fires,So Big Ears appointing some dude to talk to people about prevention of bush fires and will take up to 6 months to finish ne…,0
1981,bush%20fires,Heartening photos show how the Aussie bush is already regrowing https://t.co/uxq693KKIB,0
1988,bush%20fires,"The Australian bush fires have been and continue to be devastating. We, like many others, feel we have a responsibility t…",1
1991,bush%20fires,A run has been set up to raise money for the Australian Red Cross to help support those affected by the bush fires. Sun 19…,0
1993,bush%20fires,"Two Men arrested on suspicion of terrorism in Australia for starting bush-fires, laugh.... Nearly half a billion animals h…",1
2003,casualties,Big hugs to HRH Harry thank you for your tremendous support to our Wounded Injured and Sick over the years . Also for the…,0
2006,casualties,"An explosion hit a petrochemical plant in Zhuhai, south China's Guangdong Province, on Tuesday. No casualties were reported…",1
2013,casualties,More then 58 people dead in #NeelumValley in last two days due to heavy snowfall and glaciers More death casualties expe…,1
2023,casualties,Two more civilian casualties succumbed to injuries. Total 5 civilians Shaheed. Indian guns silent as of now to undertake ev…,1
2029,casualties,"There are reports of massive avalanches in Upper Neelum area of PoK. Many casualties reported, area not accessible by road…",1
2043,casualties,"When #explosiveweapons are used in populated areas, over 9 in every 10 casualties are likely to be civilians. This is a consiste…",0
2053,casualty,The only one who can sense in a moment if his Naira is in danger though it was nothing that could cause an extreme casualty b…,0
2059,casualty,Just happened to be passing Bourne Park on the A343 and had to dispatch yet another deer casualty!! … https://t.co/jUiPo9Mb3F,1
2069,casualty,The only one who can sense in a moment if his Naira is in danger though it was nothing that could cause an extreme… https://t.co/lCfLD8Of8l,0
2073,casualty,"Yes let's. Very likely 3,270 days from now our nuclear casualty body count would be the same as Fukushima's today. i.e.…",0
2077,casualty,"3 years since Jacob told Connie, “It’s over” and I’m still holding out for that reunion! 🙏🏼 #Casualty https://t.co/dwy…",0
2079,casualty,We'll see how far a language commissioner gets him the next time he's sat in casualty for 8 hours,0
2081,casualty,Fears department store Beales could be ‘latest casualty’ of Perth’s retail sector https://t.co/W4v1Z0KfiW https://t.co/CVuhYGiVui,0
2086,casualty,SNOW STORM CASUALTY: #FANCYWATEROFTHEDAY https://t.co/qJyi9PheIB,0
